Existing Table,Purpose,Used By Screens,Required Columns
territories,Territory master,"Login, Home, Hiring, Wizard","id, code, name, district, state, zone, base_location"
users,Employee master + role + manager + current rev/target,All screens,"id, employee_code, name, email, role, designation, base_location, district_coverage, territory_id, reporting_manager_id, current_revenue, current_target"
employee_hierarchy,Closure table for subtree visibility,"Home, Dashboard, RLS","ancestor_id, descendant_id, depth"
aop_master,AOP root per user+FY (status/version),"Wizard, Dashboard, Home","id, user_id, fy, status, version, created_at, updated_at, updated_by_user_id"
revenue_targets,Stage 2 revenue plan + LY history,"Revenue, Review, Dashboard","aop_id, total_revenue_target, *_target (5), target_aov, target_revenue_per_school, last_year_revenue, *_revenue_ly (5), current_aov, current_revenue_per_school"
universe_planning,Stage 3 universe header + plans,"Universe, Dashboard","aop_id, total_schools, active_schools, user_schools, non_user_schools, active_school_addition_plan, new_school_acquisition_plan, retention_plan, key_account_plan, chain_school_expansion_plan, premium_school_strategy, bulk_deal_opportunities, large_institutional_opportunities"
school_categories,Stage 3 per-category rows,Universe,"aop_id, category, current_count, target_count, projected_revenue, projected_conversion"
distributor_planning,Stage 3 distributor mapping,Universe,"aop_id, existing_distributor, new_distributor_required, strategic_distributor_opportunity"
sampling_planning,Stage 4 sampling volumes,Sampling,"aop_id, user_schools_sampling, non_user_schools_sampling, test_prep_sampling, early_years_sampling, ms_sampling, stem_sampling, panel_sampling, cost_per_sample, unique_sampling_factor"
conversion_planning,Stage 4 conversion estimates,Sampling,"aop_id, user_school_conversion, non_user_school_conversion, sampling_to_revenue_estimate, sampling_to_orders_estimate, sampling_to_new_schools_estimate"
training_planning,Stage 5 training plan,Training,"aop_id, user_school_trainings, non_user_school_trainings, digital_trainings, physical_trainings, teacher_workshops, principal_workshops, stem_workshops, product_demonstrations, cost_per_training, participants_per_training, expected_revenue_impact"
investment_planning,Stage 6 cost lines (+ generated total),"Cost, Review","aop_id, sampling_cost, reimbursement_cost, travel_cost, distributor_support_cost, event_cost, gift_cost, tod_cost, promotional_cost, scheme_cost, discount_cost, strategic_account_investment, other_cost, total_investment (generated)"
hiring_requests,Manpower requests,"Hiring, Wizard Stage 1","id, requested_by_user_id, for_territory_id, base_location, district, state, designation, number_of_positions, priority, reason, business_justification, expected_revenue_impact, hiring_timeline, status, created_at"
approval_workflow,Approval event log,Review,"id, aop_id, action, by_user_id, comment, created_at"
audit_logs,Generic change log,cross-cutting,"id, table_name, record_id, action, diff, by_user_id, created_at"
actuals_tracking,Monthly actuals (designed; unpopulated),"Dashboard, Reviews","user_id, period, revenue_actual, schools_active, samples, conversions"
monthly_reviews,Monthly plan vs actual (designed; unpopulated),Reviews (future),"aop_id, month, revenue_plan, revenue_actual, variance"
quarterly_reviews,Quarterly plan vs actual (designed; unpopulated),Reviews (future),"aop_id, quarter, revenue_plan, revenue_actual, rag_status"
v_aop_kpis (view),Server-side KPI mirror of calc.ts,"Dashboard, Review",derived columns
